6951032400808,CS111眼部金纯抚痕护理套,制成品,香蔓,套,0,,,1000,10,CAHR20015,,,,,,
6951032400815,CS112眼部速感活力护理套,制成品,香蔓,套,0,,,1000,10,CAHR20016,,,,,,
6951032401188,CS206胸部保养调理套,制成品,香蔓,套,0,,,1000,10,CAHR20014,,,,,,
6942804301812,CS208深海之谜护理套,制成品,香蔓,套,0,,,1000,10,CAHR20017,,,,,,
6942804301836,CS210微蛋白活能护理套,制成品,香蔓,套,0,,,1000,10,CASB10018,,,,,,
6951032401201,CS212舒肝养目护理套,制成品,香蔓,套,0,,,1000,10,CASS20011,,,,,,
6951032401195,CS211腿部轻盈护理套,制成品,香蔓,套,0,,,1000,10,CASS20010,,,,,,
6951032400983,CB115持久舒缓嫩白冰膜,制成品,香蔓,盒,0,10片/盒,,1000,10,CASB10001,,,,,,10片/盒
6951032400426,CC101玫瑰保湿洗颜乳80ml（09升级版）,制成品,香蔓,瓶,0,80ml,,1000,10,CACH10017,,,,,,80ml
6951032400433,CC102玫瑰保湿平衡水150ml（09升级版）,制成品,香蔓,瓶,0,150ml,,1000,10,CACH10018,,,,,,150ml
6951032400471,CC109丝柔水凝保湿乳80ml（09升级版）,制成品,香蔓,瓶,0,80ml,,1000,10,CACH10021,,,,,,80ml
6951032400488,CC110纯氧离子水150ml（09升级版）,制成品,香蔓,瓶,0,150ml,,1000,10,CACH10022,,,,,,150ml
6951032400501,CC112玫瑰水凝保湿霜50g（09升级版）,制成品,香蔓,瓶,0,50g,,1000,10,CACH10024,,,,,,50g
6951032401041,CD102甘菊舒缓平衡水150ml（09升级版）,制成品,香蔓,瓶,0,150ml,,1000,10,CADH10012,,,,,,150ml
6951032401058,CD103甘菊舒缓日霜50g（09升级版）,制成品,香蔓,瓶,0,50g,,1000,10,CADH10013,,,,,,50g
6951032400525,CD104甘菊修复晚霜50g（09升级版）,制成品,香蔓,瓶,0,50g,,1000,10,CADH10014,,,,,,50g
6951032401096,CE115银杏精华素30ml,制成品,香蔓,瓶,0,30ml,,1000,10,,,,,,,30ml
